id;titulo;titulo_ingles;valoracion;generos;tipo
127;Gate Keepers;;7.04;Action|Comedy|Fantasy|Mecha|Sci-Fi|Shounen;TV
128;Gate Keepers 21;;6.85;Action|Drama|Mecha|Sci-Fi|Shounen;OVA
129;Gensoumaden Saiyuuki;Saiyuki;7.67;Adventure|Comedy|Supernatural|Drama|Shounen;TV
130;Saiyuuki Reload;Saiyuki Reload;7.50;Action|Adventure|Comedy|Drama|Fantasy|Josei;TV
131;Saiyuuki Reload Gunlock;Saiyuki Gunlock;7.52;Action|Adventure|Comedy|Fantasy|Josei;TV
132;GetBackers;Getbackers;7.69;Action|Comedy|Drama|Mystery|Shounen|Super Power|Supernatural;TV
133;Green Green;Green Green;6.34;Comedy|Ecchi|Romance|School|Slice of Life;TV
134;Gunslinger Girl;Gunslinger Girl;7.50;Action|Psychological|Military|Drama|Sci-Fi;TV
135;Hikaru no Go;Hikaru no Go;8.16;Comedy|Game|Shounen|Supernatural;TV
136;Hunter x Hunter;Hunter x Hunter;8.47;Action|Adventure|Super Power|Fantasy|Shounen;TV
137;Hunter x Hunter: Yorkshin City Kanketsu-hen;;8.38;Action|Adventure|Super Power|Shounen;OVA
138;Hunter x Hunter: Greed Island;;8.30;Action|Adventure|Super Power|Fantasy|Shounen;OVA
139;Hunter x Hunter: Greed Island Final;;8.37;Action|Adventure|Super Power|Fantasy|Shounen;OVA
141;Jinki:Extend;Jinki: Extend;6.21;Mecha|Sci-Fi;TV
142;Kamikaze Kaitou Jeanne;;7.52;Adventure|Comedy|Demons|Drama|Fantasy|Magic|Mystery|Romance|Shoujo;TV
143;Kannazuki no Miko;Destiny of the Shrine Maiden;6.99;Supernatural|Drama|Magic|Romance|Mecha|Shounen|Shoujo Ai;TV
144;Kanon;;7.21;Drama|Romance|Slice of Life|Supernatural;TV
145;Kareshi Kanojo no Jijou;His and Her Circumstances;7.64;Comedy|Drama|Romance|School|Shoujo|Slice of Life;TV
146;Kono Minikuku mo Utsukushii Sekai;This Ugly Yet Beautiful World;6.85;Sci-Fi|Comedy|Drama|Magic|Romance|Ecchi;TV
147;Kimi ga Nozomu Eien;Rumbling Hearts;7.34;Drama|Romance|Slice of Life;TV
148;Kita e.: Diamond Dust Drops;Diamond Daydreams;6.70;Drama|Romance|Slice of Life;TV
149;Loveless;Loveless;7.09;Action|Mystery|Supernatural|Drama|Romance|Fantasy|Josei|Shounen Ai;TV
150;Blood+;Blood+;7.75;Action|Military|Mystery|Horror|Supernatural|Drama|Vampire;TV
151;Re: Cutey Honey;;7.16;Action|Sci-Fi|Comedy|Ecchi|Shoujo Ai;OVA
152;Solty Rei;;7.34;Action|Sci-Fi|Super Power;TV
153;Juuni Kokuki;The Twelve Kingdoms;8.12;Action|Adventure|Fantasy|Magic|Supernatural;TV
154;Shaman King;Shaman King;7.83;Action|Adventure|Comedy|Supernatural|Drama|Shounen;TV
155;X/1999;X - The Movie;6.66;Action|Drama|Fantasy|Horror|Magic|Sci-Fi|Supernatural;Movie
156;X;X;7.51;Action|Super Power|Drama|Magic|Romance|Fantasy|Shoujo;TV
157;Mahou Sensei Negima!;Negima!;7.07;Comedy|Ecchi|Fantasy|Harem|Magic|Romance|School|Shounen|Super Power|Supernatural;TV
158;Maria-sama ga Miteru;Maria Watches Over Us;7.43;Slice of Life|Drama|Romance|Shoujo|Shoujo Ai;TV
159;Boukyaku no Senritsu;The Melody of Oblivion;6.39;Adventure|Fantasy|Horror|Mecha|Psychological|Sci-Fi|Shounen|Space|Supernatural;TV
160;Ima, Soko ni Iru Boku;Now and Then, Here and There;7.74;Adventure|Drama|Fantasy|Military|Sci-Fi;TV
161;Peace Maker Kurogane;Peace Maker Kurogane;7.40;Action|Comedy|Historical|Samurai|Shounen;TV
